,fecha,departamento,municipio,dosis,vacunacion
11,2021-10-23,Potosí,Mojinete,2,22%
12,2021-10-23,Potosí,Chayanta,2,23%
13,2021-10-23,Potosí,Porco,2,23%
14,2021-10-23,Potosí,Ocuri,2,24%
15,2021-10-23,Potosí,Puna,2,25%
16,2021-10-23,Potosí,Tacobamba,2,25%
17,2021-10-23,Potosí,Chaqui,2,26%
18,2021-10-23,Potosí,S.P.De Quemes,2,26%
19,2021-10-23,Potosí,Yocalla,2,28%
20,2021-10-23,Potosí,Llica,2,29%
21,2021-10-23,Potosí,Sacaca,2,29%
22,2021-10-23,Potosí,Tomave,2,30%
23,2021-10-23,Potosí,San P. De Lipez,2,31%
24,2021-10-23,Potosí,Uncia,2,31%
25,2021-10-23,Potosí,Betanzos,2,32%
26,2021-10-23,Potosí,Arampampa,2,33%
27,2021-10-23,Potosí,Cotagaita,2,34%
28,2021-10-23,Potosí,Caripuyo,2,36%
29,2021-10-23,Potosí,"Caiza ""D""",2,37%
30,2021-10-23,Potosí,Vitichi,2,40%
31,2021-10-23,Potosí,Llallagua,2,48%
32,2021-10-23,Potosí,Tahua,2,49%
33,2021-10-23,Potosí,Villazon,2,54%
34,2021-10-23,Potosí,Uyuni,2,61%
35,2021-10-23,Potosí,Potosí,2,62%
36,2021-10-23,Potosí,"Colcha ""K""",2,65%
37,2021-10-23,Potosí,San Agustin,2,72%
38,2021-10-23,Potosí,Tupiza,2,79%
39,2021-10-23,Potosí,Atocha,2,85%
0,2021-10-23,Cochabamba,Tiraque (Cbba),2,17%
1,2021-10-23,Cochabamba,Tacopaya,2,22%
2,2021-10-23,Cochabamba,Vacas,2,22%
3,2021-10-23,Cochabamba,Bolivar,2,25%
4,2021-10-23,Cochabamba,Pojo (Cbba),2,25%
5,2021-10-23,Cochabamba,Vinto,2,29%
6,2021-10-23,Cochabamba,Colomi,2,31%
7,2021-10-23,Cochabamba,Sipe Sipe,2,32%
8,2021-10-23,Cochabamba,Tiquipaya,2,34%
9,2021-10-23,Cochabamba,Cocapata,2,35%
10,2021-10-23,Cochabamba,Sacaba,2,35%
11,2021-10-23,Cochabamba,Sicaya,2,35%
12,2021-10-23,Cochabamba,Ayopaya (V. De Independencia),2,36%
13,2021-10-23,Cochabamba,Colcapirhua,2,36%
14,2021-10-23,Cochabamba,Mizque,2,36%
