,fecha,cod_ine,municipio,departamento,dosis,porcentaje
2202,2022-01-22,50303,Tacobamba,Potosí,2,31
2217,2022-01-22,51203,Porco,Potosí,1,41
2218,2022-01-22,51203,Porco,Potosí,2,31
2233,2022-01-22,51401,Llica,Potosí,1,42
2234,2022-01-22,51401,Llica,Potosí,2,34
2249,2022-01-22,50701,Sacaca,Potosí,1,45
2250,2022-01-22,50701,Sacaca,Potosí,2,37
2265,2022-01-22,51202,Tomave,Potosí,1,38
2266,2022-01-22,51202,Tomave,Potosí,2,33
2281,2022-01-22,51301,Arampampa,Potosí,1,44
2282,2022-01-22,51301,Arampampa,Potosí,2,38
2297,2022-01-22,50201,Uncia,Potosí,1,50
2298,2022-01-22,50201,Uncia,Potosí,2,36
2317,2022-01-22,50103,Yocalla,Potosí,1,46
2318,2022-01-22,50103,Yocalla,Potosí,2,37
2333,2022-01-22,51001,San P. De Lipez,Potosí,1,39
2334,2022-01-22,51001,San P. De Lipez,Potosí,2,36
2349,2022-01-22,50301,Betanzos,Potosí,1,49
2350,2022-01-22,50301,Betanzos,Potosí,2,37
2365,2022-01-22,50302,Chaqui,Potosí,1,45
2366,2022-01-22,50302,Chaqui,Potosí,2,35
2381,2022-01-22,50601,Cotagaita,Potosí,1,48
2382,2022-01-22,50601,Cotagaita,Potosí,2,41
2397,2022-01-22,51102,"Caiza ""D""",Potosí,1,53
2398,2022-01-22,51102,"Caiza ""D""",Potosí,2,42
2413,2022-01-22,50602,Vitichi,Potosí,1,55
2414,2022-01-22,50602,Vitichi,Potosí,2,49
2429,2022-01-22,50702,Caripuyo,Potosí,1,58
2430,2022-01-22,50702,Caripuyo,Potosí,2,43
2445,2022-01-22,50203,Llallagua,Potosí,1,66
2446,2022-01-22,50203,Llallagua,Potosí,2,53
2461,2022-01-22,51402,Tahua,Potosí,1,60
2462,2022-01-22,51402,Tahua,Potosí,2,56
2477,2022-01-22,51501,Villazon,Potosí,1,77
2478,2022-01-22,51501,Villazon,Potosí,2,65
2493,2022-01-22,51201,Uyuni,Potosí,1,77
2494,2022-01-22,51201,Uyuni,Potosí,2,65
2509,2022-01-22,50901,"Colcha ""K""",Potosí,1,73
